iter	Logloss
0	0.6749967397
1	0.6582834716
2	0.6443655752
3	0.6309787381
4	0.6197944987
5	0.6082026108
6	0.5976089487
7	0.5863876924
8	0.5763944442
9	0.5674051468
10	0.5590310872
11	0.5513116641
12	0.5445275076
13	0.5378359677
14	0.5331360843
15	0.5270292083
16	0.5218531592
17	0.5167586371
18	0.5114426352
19	0.5061904314
20	0.5013834465
21	0.4965739254
22	0.4921827371
23	0.4881059006
24	0.4848745918
25	0.4816113143
26	0.4785333962
27	0.4758638407
28	0.4728320585
29	0.469490832
30	0.4675841113
31	0.4651312688
32	0.4629027244
33	0.4602681579
34	0.4578492378
35	0.4556897425
36	0.4548052416
37	0.4529509797
38	0.4511681028
39	0.4494973979
40	0.4478677538
41	0.4461297275
42	0.4441473961
43	0.4422404848
44	0.4417436868
45	0.4404313645
46	0.439094705
47	0.4377941255
48	0.4367367922
49	0.435355739
50	0.4337788054
51	0.4326535819
52	0.4322413934
53	0.4313174365
54	0.4300308767
55	0.4288446998
56	0.427489381
57	0.4272927908
58	0.4261357761
59	0.4252721285
60	0.4242846143
61	0.4241177574
62	0.4236109197
63	0.4227079524
64	0.4217346596
65	0.4211868183
66	0.4203711818
67	0.4200034397
68	0.4191912387
69	0.4184541867
70	0.4177335425
71	0.417034141
72	0.4162781581
73	0.4152765979
74	0.4142762255
75	0.4136352534
76	0.4129677523
77	0.4124409448
78	0.4115750352
79	0.4107320507
80	0.4099846284
81	0.4092548941
82	0.4085431937
83	0.408251461
84	0.4075241292
85	0.4069186494
86	0.4064150266
87	0.4058249719
88	0.4050793587
89	0.404521147
90	0.4037993795
91	0.40335181
92	0.4030890647
93	0.4027467134
94	0.4023384992
95	0.4017980183
96	0.4014525854
97	0.4010960465
98	0.4006900469
99	0.4004225916
100	0.3996333017
101	0.399113161
102	0.3986407327
103	0.3985414515
104	0.3980760343
105	0.3978507937
106	0.3972930145
107	0.3967444083
108	0.3963441042
109	0.3956966248
110	0.3952650581
111	0.3945598831
112	0.3941767261
113	0.393592844
114	0.3929517247
115	0.3925444877
116	0.3920833251
117	0.3912509935
118	0.3908300552
119	0.3901349949
120	0.3897033657
121	0.3894164133
122	0.3890421423
123	0.3887283738
124	0.3880729317
125	0.3877331062
126	0.3874103602
127	0.3870038477
128	0.3866079823
129	0.3860421117
130	0.3858478861
131	0.3857635944
132	0.3854786776
133	0.3851002831
134	0.3847969743
135	0.3843438902
136	0.3840497349
137	0.3837872623
138	0.383553811
139	0.3830311136
140	0.3828053485
141	0.3825171631
142	0.3817939694
143	0.3815617786
144	0.3812784844
145	0.3808069594
146	0.3806803296
147	0.380079697
148	0.3796510415
149	0.3791895508
