iter	Passed	Remaining
0	0	136
1	1	83
2	1	72
3	1	60
4	1	56
5	2	54
6	2	51
7	2	51
8	3	49
9	3	46
10	3	42
11	3	41
12	3	40
13	4	39
14	4	38
15	4	38
16	4	37
17	5	37
18	5	37
19	5	37
20	6	37
21	6	36
22	6	36
23	6	35
24	7	35
25	7	35
26	7	34
27	7	33
28	8	33
29	8	33
30	8	32
31	8	31
32	8	31
33	9	31
34	9	30
35	9	29
36	9	29
37	9	28
38	9	28
39	10	27
40	10	27
41	10	27
42	10	26
43	11	26
44	11	25
45	11	25
46	11	25
47	11	25
48	11	24
49	12	24
50	12	24
51	12	23
52	12	23
53	12	23
54	13	22
55	13	22
56	13	22
57	13	21
58	14	21
59	14	21
60	14	21
61	14	20
62	14	20
63	15	20
64	15	20
65	15	19
66	15	19
67	16	19
68	16	19
69	16	18
70	16	18
71	17	18
72	17	18
73	17	17
74	17	17
75	17	17
76	18	17
77	18	16
78	18	16
79	18	16
80	19	16
81	19	16
82	19	15
83	19	15
84	20	15
85	20	15
86	20	14
87	20	14
88	20	14
89	21	14
90	21	13
91	21	13
92	21	13
93	22	13
94	22	12
95	22	12
96	22	12
97	23	12
98	23	11
99	23	11
100	23	11
101	23	11
102	24	11
103	24	10
104	24	10
105	24	10
106	25	10
107	25	9
108	25	9
109	25	9
110	25	9
111	26	8
112	26	8
113	26	8
114	26	8
115	26	7
116	27	7
117	27	7
118	27	7
119	27	6
120	28	6
121	28	6
122	28	6
123	28	6
124	28	5
125	29	5
126	29	5
127	29	5
128	29	4
129	29	4
130	30	4
131	30	4
132	30	3
133	30	3
134	31	3
135	31	3
136	31	3
137	32	2
138	32	2
139	32	2
140	32	2
141	32	1
142	33	1
143	33	1
144	33	1
145	33	0
146	34	0
147	34	0
148	34	0
149	34	0
